4,Quality,2,5,7,35,39,43,46,66,,,,,,,,,,
4,Employee Benefits,3,9,19,21,24,60,77,,,,,,,,,,,
4,Communication,4,12,27,31,48,54,56,64,,,,,,,,,,
4,Efficiency,6,8,20,26,50,51,52,53,65,67,68,72,74,80,,,,
4,Partnership,10,22,30,33,44,45,73,76,,,,,,,,,,
4,Management,11,14,15,29,41,42,47,49,55,57,58,59,63,69,70,71,78,79
4,Production,13,16,18,23,28,38,,,,,,,,,,,,
4,Community Relations,25,34,62,,,,,,,,,,,,,,,
4,Client,32,36,40,61,,,,,,,,,,,,,,
5,Advertising/Marketing/Sales,1,10,17,22,30,33,36,37,45,61,75,76,,,,,,
5,Employee Quality,2,5,39,65,,,,,,,,,,,,,,
5,Employee Benefits,3,9,21,24,60,63,,,,,,,,,,,,
5,Communication,4,27,48,54,56,59,64,,,,,,,,,,,
5,Efficiency,6,8,26,55,58,68,70,74,80,,,,,,,,,
5,Quality,7,29,32,35,40,41,42,43,44,46,57,66,69,,,,,
5,Employee Issues,11,14,19,31,77,,,,,,,,,,,,,
5,Employee Relations,12,,,,,,,,,,,,,,,,,
5,Expansion,13,49,,,,,,,,,,,,,,,,
5,Computers,15,20,50,51,52,53,67,,,,,,,,,,,
5,Information Technology,16,18,23,28,38,72,,,,,,,,,,,,
5,Program Issues,25,34,62,,,,,,,,,,,,,,,
5,Partnership,47,71,73,78,79,,,,,,,,,,,,,
6,CR,1,17,37,75,,,,,,,,,,,,,,
6,Program Staff,2,16,28,38,65,,,,,,,,,,,,,
6,Benefits,3,9,21,24,60,63,77,,,,,,,,,,,
6,Core Management Elements,11,13,14,19,29,41,42,47,56,58,72,74,,,,,,
6,Retail,5,7,43,44,46,49,67,68,70,,,,,,,,,
6,Information Technology,6,8,15,50,51,52,53,,,,,,,,,,,
6,Partnership,10,30,71,73,76,78,79,80,,,,,,,,,,
6,Community,18,20,22,23,26,33,69,,,,,,,,,,,
6,Community Relations,25,32,34,45,62,,,,,,,,,,,,,
6,The customer,36,40,61,66,,,,,,,,,,,,,,
6,Client,4,12,39,48,54,55,59,64,,,,,,,,,,
6,Training,27,31,35,57,,,,,,,,,,,,,,
7,Community Relations,1,10,25,,,,,,,,,,,,,,,
7,Management,2,6,15,29,41,48,55,56,58,74,,,,,,,,
7,Employee Issues,4,9,11,12,14,19,27,39,47,57,64,77,,,,,,
7,Training,31,35,,,,,,,,,,,,,,,,
7,Production,13,16,18,22,23,26,28,38,65,69,72,,,,,,,
7,Interface with Client,5,7,43,44,46,49,67,68,70,,,,,,,,,
7,Information Technology,8,20,52,53,,,,,,,,,,,,,,
7,Partnership,17,30,33,37,71,73,75,79,80,,,,,,,,,
7,Customers,32,36,40,61,66,76,,,,,,,,,,,,
7,Employee Benefits,3,21,24,60,63,,,,,,,,,,,,,
7,Identity,42,45,54,78,,,,,,,,,,,,,,
7,Communicating,50,51,59,,,,,,,,,,,,,,,
7,Community Involvement,34,62,,,,,,,,,,,,,,,,
8,Production Issues,13,16,18,23,26,28,38,65,72,,,,,,,,,
8,Employee Issues,3,4,9,19,21,24,27,60,77,,,,,,,,,
8,Community Issues,25,34,62,,,,,,,,,,,,,,,
8,Information Technology,8,15,20,50,51,52,53,67,,,,,,,,,,
8,Evaluation/Data Collection,10,36,40,61,,,,,,,,,,,,,,
8,Interface with Client,5,7,32,43,44,46,66,68,,,,,,,,,,
8,Partnership,1,42,45,,,,,,,,,,,,,,,
8,Advertising/Sales,17,30,37,75,,,,,,,,,,,,,,
8,Product Quality,2,22,33,76,,,,,,,,,,,,,,
8,Community Relations,31,35,41,57,64,,,,,,,,,,,,,
8,Employee Relations/Communication,11,12,48,54,56,59,,,,,,,,,,,,
8,Outside Industry Context,47,49,70,71,73,78,79,,,,,,,,,,,
8,Efficiency/Productivity,6,14,29,39,55,58,63,69,74,80,,,,,,,,
9,Management Styles,2,12,13,19,29,41,42,48,54,55,65,70,71,74,,,,
9,Public Relations,1,10,17,25,34,37,45,62,75,,,,,,,,,
9,Community Relations,3,9,11,14,21,24,31,35,39,47,56,57,60,63,77,,,
9,Communication,4,6,8,15,27,33,50,51,52,53,59,64,,,,,,
9,Interface with Client,5,7,32,36,40,43,44,46,49,61,66,67,68,,,,,
9,Production and Delivery,16,18,20,22,23,26,28,38,69,72,,,,,,,,
9,Partnership,30,,,,,,,,,,,,,,,,,
9,Resources,58,78,,,,,,,,,,,,,,,,
9,Marketing for the Future,73,76,79,80,,,,,,,,,,,,,,
10,Community Relations,1,17,37,75,,,,,,,,,,,,,,
10,Teamwork,2,4,54,56,65,,,,,,,,,,,,,
10,Employee Benefits,3,9,19,21,24,60,63,,,,,,,,,,,
10,Store Quality,5,7,43,44,46,67,68,70,,,,,,,,,,
10,Efficiency,6,58,72,74,80,,,,,,,,,,,,,
10,Computers,8,15,20,50,51,52,53,,,,,,,,,,,
10,Marketing/Sales,10,30,76,,,,,,,,,,,,,,,
10,Salaries,11,47,,,,,,,,,,,,,,,,
10,Management-Staff Relations,12,48,,,,,,,,,,,,,,,,
10,Expansion,13,49,73,78,,,,,,,,,,,,,,
10,Employee Productivity,14,39,77,,,,,,,,,,,,,,,
10,Production Problems,16,18,26,,,,,,,,,,,,,,,
10,Product Development,22,23,28,33,38,69,,,,,,,,,,,,
10,Public Relations,25,34,62,,,,,,,,,,,,,,,
10,Communication,27,64,,,,,,,,,,,,,,,,
10,Management Improvements,29,41,55,59,,,,,,,,,,,,,,
10,Customer Satisfaction,32,36,40,61,66,,,,,,,,,,,,,
10,Training,31,35,57,,,,,,,,,,,,,,,
10,Organizational Culture,42,45,,,,,,,,,,,,,,,,
10,Partnership,71,79,,,,,,,,,,,,,,,,
